,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
187,2016,Active,Natural Gas,guernsey,OH,80.31413863,11.9619346,92.27607324,550.0,40.05026528578671,-81.49248904822805
188,2016,Active,Natural Gas,snyder,PA,0.0,0.0,0.0,1143.0,40.77114873087213,-77.06884738908003
189,2016,Active,Solar,adams,OH,22.92240574,25.45729225,48.37969799,49.9,38.84541071850053,-83.47189639851895
190,2016,Active,Solar,carbon,PA,0.0,2.92721498,2.92721498,10.0,40.915080254907686,-75.70908737002868
191,2016,Active,Solar,crawford,OH,42.73504274,25.21367521,67.94871795,117.0,40.85064564617122,-82.91989325053814
192,2016,Active,Solar,culpeper,VA,6.936239314,96.06031999999999,102.99655934999998,160.0,38.48401706331724,-77.95862397820886
193,2016,Active,Solar,dinwiddie,VA,6.797585746,91.10810642,97.90569217,80.0,37.07544384127212,-77.63450150060336
194,2016,Active,Solar,halifax,VA,16.98911455,192.50971959999998,209.49883415,73.9,36.76654925323564,-78.93512622289322
195,2016,Active,Solar,hanover,VA,0.0,40.6818875,40.6818875,80.0,37.75956699353723,-77.49076271638765
196,2016,Active,Solar,hardin,OH,17.26376105,4.315940262,21.57970131,130.0,40.66015413672488,-83.65929931306782
197,2016,Active,Solar,hertford,NC,44.2692,149.7186,193.9878,5.0,36.36077550167844,-76.98104133503753
198,2016,Active,Solar,jackson,OH,78.28304934,31.31321973,109.5962691,70.0,39.019142543239425,-82.61818560183286
199,2016,Active,Solar,meigs,OH,2.543786495,32.19053921,34.7343257,48.0,39.092248719801255,-82.03050410461687
200,2016,Active,Solar,pitt,NC,0.0,36.7416875,36.7416875,80.0,35.59505651018732,-77.37395433200922
201,2016,Active,Solar,vinton,OH,1.00475217,27.89500217,28.89975434,125.0,39.25208988207214,-82.48314440258642
202,2016,Complete,Hydro,lynchburg,VA,0.0,0.0,0.0,12.5,37.4000782360907,-79.19884218534771
203,2016,Complete,Natural Gas,franklin,PA,0.0,0.950082316,0.950082316,15.0,39.92956518216588,-77.7215779078095
204,2016,Complete,Natural Gas,lebanon,PA,0.019001646,0.0,0.019001646,750.0,40.365867392348854,-76.4547965847159
205,2016,Complete,Natural Gas,monroe,OH,0.0,27.50175264,27.50175264,485.0,39.72994995882985,-81.07535714688154
206,2016,Complete,Natural Gas,van buren,MI,0.0,0.0,0.0,1055.0,42.25190229120021,-86.0193908751942
207,2016,Complete,Natural Gas,westmoreland,PA,0.0,9.681114374,9.681114374,1050.0,40.31243409475859,-79.46987424378885
208,2016,Complete,Nuclear,york,PA,0.0,13.07912425,13.07912425,2709.8,39.922837160321635,-76.73159402672948
209,2016,Complete,Solar,alamance,NC,9.792133333,111.2234,121.0155333,60.0,36.04347010229184,-79.39976137086514
210,2016,Complete,Solar,buckingham,VA,0.0,0.0,0.0,19.8,37.57242230623772,-78.52518843034474
211,2016,Complete,Solar,campbell,VA,0.46810668,6.627965041,7.096071721,60.0,37.20551977530489,-79.09674063315872
212,2016,Complete,Solar,charles city,VA,5.192064423,5.535893434,10.72795786,320.0,37.35357060322606,-77.05632773238949
213,2016,Complete,Solar,chesapeake,VA,3.672715281,53.38090974,57.05362503,150.0,36.67670047776967,-76.30545743669693
214,2016,Complete,Solar,culpeper,VA,8.669193868,122.7094852,131.378679,60.0,38.48401706331724,-77.95862397820886
215,2016,Complete,Solar,defiance,OH,15.37422612,8.78527207,24.15949819,49.9,41.32398837368299,-84.49076944483588
216,2016,Complete,Solar,edgecombe,NC,6.597921179,97.27197023,103.86989141500001,175.0,35.912306386033556,-77.59436892095293
217,2016,Complete,Solar,fauquier,VA,0.0,0.0,0.0,19.8,38.735648418535106,-77.80647471996564
218,2016,Complete,Solar,greensville,VA,18.01163699,70.38821649333333,88.39985351666667,260.0,36.678788366115086,-77.56351483408933
219,2016,Complete,Solar,halifax,NC,6.786283508,97.51995988,104.3062434,80.0,36.256739444649995,-77.65561110600461
220,2016,Complete,Solar,halifax,VA,77.86348925,108.239723895,186.10321315,71.0,36.76654925323564,-78.93512622289322
221,2016,Complete,Solar,harrison,KY,4.4687566,88.60905944,93.07781604,80.0,38.44168171746726,-84.32901095411219
222,2016,Complete,Solar,highland,OH,0.0,23.106923925,23.106923925,550.0,39.18392639894175,-83.60331455789769
223,2016,Complete,Solar,hyde,NC,7.448862564,100.53974,107.9886026,74.0,35.420176737707536,-76.15180542255648
224,2016,Complete,Solar,isle of wight,VA,11.30445717,18.02881849,29.33327566,240.0,36.90566224624305,-76.70855327934865
225,2016,Complete,Solar,king george,VA,10.7928001,140.3743199,151.16712,50.0,38.26817691335273,-77.15851654318722
226,2016,Complete,Solar,louisa,VA,7.521797184,186.3173769,193.8391741,88.2,37.97849712790609,-77.96274920366149
227,2016,Complete,Solar,madison,OH,2.284869446,40.48983659,42.77470603,176.0,39.89381073260752,-83.40178316992127
