,q_year,q_status,cod_year,type_clean,mw1,region
206,2007.0,withdrawn,2010.0,Wind,180.0,CAISO
207,2007.0,withdrawn,2013.0,Wind,49.0,CAISO
208,2007.0,withdrawn,2011.0,Wind,420.0,CAISO
209,2007.0,withdrawn,2010.0,Gas,99.0,CAISO
210,2007.0,withdrawn,2010.0,Gas,99.0,CAISO
211,2007.0,withdrawn,2010.0,Gas,99.0,CAISO
212,2007.0,withdrawn,2012.0,Solar,50.0,CAISO
213,2007.0,withdrawn,2011.0,Solar,450.0,CAISO
214,2007.0,withdrawn,2011.0,Solar,450.0,CAISO
215,2007.0,operational,2012.0,Wind,78.0,CAISO
216,2007.0,withdrawn,2010.0,Wind,170.0,CAISO
217,2007.0,withdrawn,2010.0,Gas,99.0,CAISO
218,2007.0,withdrawn,2012.0,Gas,640.0,CAISO
219,2007.0,withdrawn,2012.0,Gas,620.0,CAISO
220,2007.0,withdrawn,2010.0,Wind,175.0,CAISO
221,2007.0,withdrawn,2011.0,Gas,630.0,CAISO
222,2007.0,withdrawn,2013.0,Solar,1000.0,CAISO
223,2007.0,withdrawn,2013.0,Solar,1000.0,CAISO
224,2007.0,withdrawn,2009.0,Wind,50.0,CAISO
225,2007.0,withdrawn,2010.0,Gas,99.0,CAISO
226,2007.0,operational,2013.0,Solar,132.0,CAISO
227,2007.0,withdrawn,2013.0,Solar,400.0,CAISO
228,2007.0,withdrawn,2011.0,Gas,630.0,CAISO
229,2007.0,withdrawn,2011.0,Gas,630.0,CAISO
230,2007.0,withdrawn,2011.0,Gas,634.0,CAISO
231,2007.0,withdrawn,2008.0,Solar,45.0,CAISO
232,2007.0,operational,2014.0,Solar,250.0,CAISO
233,2007.0,withdrawn,2014.0,Solar,400.0,CAISO
234,2007.0,withdrawn,2015.0,Solar,400.0,CAISO
235,2007.0,operational,2014.0,Solar,150.0,CAISO
236,2007.0,withdrawn,2010.0,Solar,429.0,CAISO
237,2007.0,withdrawn,2010.0,Wind,120.0,CAISO
238,2007.0,withdrawn,2010.0,Wind,228.0,CAISO
239,2007.0,withdrawn,2010.0,Wind,120.0,CAISO
240,2007.0,withdrawn,2011.0,Gas,67.0,CAISO
241,2007.0,withdrawn,2011.0,Gas,67.0,CAISO
242,2007.0,withdrawn,2010.0,Wind,105.0,CAISO
243,2007.0,withdrawn,2009.0,Wind,66.0,CAISO
244,2007.0,withdrawn,2009.0,Solar,200.0,CAISO
245,2007.0,operational,2010.0,Gas,26.0,CAISO
246,2007.0,withdrawn,2011.0,Wind,40.0,CAISO
247,2007.0,withdrawn,2012.0,Gas,600.0,CAISO
248,2007.0,withdrawn,2013.0,Solar,250.0,CAISO
249,2007.0,withdrawn,2009.0,Solar,30.0,CAISO
250,2007.0,withdrawn,2011.0,Gas,575.0,CAISO
251,2007.0,withdrawn,2012.0,Gas,651.0,CAISO
252,2007.0,withdrawn,2012.0,Gas,345.0,CAISO
253,2007.0,withdrawn,2012.0,Gas,260.0,CAISO
254,2007.0,withdrawn,2010.0,Gas,104.0,CAISO
255,2007.0,withdrawn,2012.0,Gas,391.0,CAISO
256,2007.0,withdrawn,2011.0,Gas,634.0,CAISO
257,2007.0,withdrawn,2010.0,Wind,300.0,CAISO
258,2007.0,withdrawn,2009.0,Solar,25.0,CAISO
259,2007.0,withdrawn,2012.0,Gas,325.0,CAISO
260,2007.0,operational,2012.0,Gas,280.0,CAISO
261,2007.0,operational,2012.0,Gas,145.0,CAISO
262,2007.0,withdrawn,2012.0,Gas,371.0,CAISO
263,2007.0,withdrawn,2011.0,Solar,700.0,CAISO
264,2007.0,withdrawn,2012.0,Solar,400.0,CAISO
265,2007.0,operational,2020.0,Solar,123.0,CAISO
266,2007.0,withdrawn,2010.0,Gas,99.0,CAISO
267,2007.0,operational,2008.0,Gas,54.0,CAISO
268,2007.0,withdrawn,2012.0,Gas,630.0,CAISO
269,2007.0,withdrawn,2012.0,Gas,650.0,CAISO
270,2007.0,withdrawn,2010.0,Wind,75.0,CAISO
271,2007.0,withdrawn,2012.0,Hydro,40.0,CAISO
272,2007.0,withdrawn,2012.0,Hydro,40.0,CAISO
273,2007.0,withdrawn,2010.0,Gas,500.0,CAISO
274,2007.0,withdrawn,2008.0,Other,29.0,CAISO
275,2007.0,withdrawn,2010.0,Other,107.0,CAISO
276,2007.0,withdrawn,2012.0,Gas,115.0,CAISO
277,2007.0,withdrawn,2011.0,Wind,150.0,CAISO
278,2007.0,withdrawn,2012.0,Solar,375.0,CAISO
279,2007.0,withdrawn,2011.0,Solar,231.0,CAISO
280,2007.0,withdrawn,2011.0,Solar,375.0,CAISO
281,2007.0,withdrawn,2011.0,Solar,375.0,CAISO
282,2007.0,withdrawn,2015.0,Solar,750.0,CAISO
283,2007.0,withdrawn,2015.0,Solar,250.0,CAISO
284,2007.0,withdrawn,2014.0,Solar,250.0,CAISO
285,2008.0,withdrawn,2009.0,Other,5.2,CAISO
286,2008.0,active,2012.0,Solar+Battery,0.0,CAISO
287,2008.0,withdrawn,2011.0,Solar,300.0,CAISO
288,2008.0,withdrawn,2009.0,Solar,33.0,CAISO
289,2008.0,operational,2013.0,Solar,66.0,CAISO
290,2008.0,withdrawn,2011.0,Solar,140.0,CAISO
291,2008.0,withdrawn,2010.0,Gas,27.0,CAISO
292,2008.0,withdrawn,2014.0,Gas,400.0,CAISO
293,2008.0,withdrawn,2016.0,Solar,500.0,CAISO
294,2008.0,withdrawn,2010.0,Solar,200.0,CAISO
295,2008.0,withdrawn,2011.0,Wind,500.0,CAISO
296,2008.0,operational,2013.0,Solar,50.0,CAISO
297,2008.0,withdrawn,2012.0,Gas,611.0,CAISO
298,2008.0,withdrawn,2012.0,Gas,200.0,CAISO
299,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
300,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
301,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
302,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
303,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
304,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
305,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
306,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
307,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
308,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
309,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
310,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
311,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
312,2008.0,operational,2013.0,Gas,100.0,CAISO
313,2008.0,withdrawn,2013.0,Wind,100.0,CAISO
314,2008.0,withdrawn,2012.0,Gas,611.0,CAISO
315,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
316,2008.0,withdrawn,2009.0,Solar,250.0,CAISO
317,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
318,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
319,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
320,2008.0,withdrawn,2009.0,Solar,100.0,CAISO
321,2008.0,withdrawn,2012.0,Solar,264.0,CAISO
322,2008.0,withdrawn,2009.0,Solar,33.0,CAISO
323,2008.0,withdrawn,2010.0,Solar,231.0,CAISO
324,2008.0,withdrawn,2011.0,Solar,264.0,CAISO
325,2008.0,withdrawn,2009.0,Solar,33.0,CAISO
326,2008.0,operational,2012.0,Gas,196.0,CAISO
327,2008.0,withdrawn,2012.0,Gas,99.0,CAISO
328,2008.0,withdrawn,2010.0,Solar,75.0,CAISO
329,2008.0,operational,2013.0,Solar,26.0,CAISO
330,2008.0,withdrawn,2010.0,Gas,10.0,CAISO
331,2008.0,withdrawn,2011.0,Gas,50.0,CAISO
332,2008.0,operational,2013.0,Solar,20.0,CAISO
333,2008.0,withdrawn,2012.0,Gas,525.0,CAISO
334,2008.0,withdrawn,2011.0,Solar,40.0,CAISO
335,2008.0,withdrawn,2011.0,Solar,40.0,CAISO
336,2008.0,withdrawn,2011.0,Solar,40.0,CAISO
337,2008.0,withdrawn,2011.0,Solar,30.0,CAISO
338,2008.0,withdrawn,2011.0,Solar,50.0,CAISO
339,2008.0,withdrawn,2013.0,Solar,80.0,CAISO
340,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
341,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
342,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
343,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
344,2008.0,withdrawn,2011.0,Solar,100.0,CAISO
345,2008.0,operational,2017.0,Solar,40.0,CAISO
346,2008.0,withdrawn,2010.0,Solar,100.0,CAISO
347,2008.0,withdrawn,2011.0,Solar,100.0,CAISO
348,2008.0,withdrawn,2011.0,Solar,350.0,CAISO
349,2008.0,withdrawn,2012.0,Gas,200.0,CAISO
350,2008.0,withdrawn,2012.0,Solar,200.0,CAISO
351,2008.0,withdrawn,2012.0,Solar,300.0,CAISO
352,2008.0,withdrawn,2013.0,Solar,700.0,CAISO
353,2008.0,withdrawn,2014.0,Solar,700.0,CAISO
