index,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
206,2016,Complete,Natural Gas,van buren,MI,0,0,0,1055,42.25190229,-86.01939088
207,2016,Complete,Natural Gas,westmoreland,PA,0,9.681114374,9.681114374,1050,40.31243409,-79.46987424
208,2016,Complete,Nuclear,york,PA,0,13.07912425,13.07912425,2709.8,39.92283716,-76.73159403
209,2016,Complete,Solar,alamance,NC,9.792133333,111.2234,121.0155333,60,36.0434701,-79.39976137
210,2016,Complete,Solar,buckingham,VA,0,0,0,19.8,37.57242231,-78.52518843
211,2016,Complete,Solar,campbell,VA,0.46810668,6.627965041,7.096071721,60,37.20551978,-79.09674063
212,2016,Complete,Solar,charles city,VA,5.192064423,5.535893434,10.72795786,320,37.3535706,-77.05632773
213,2016,Complete,Solar,chesapeake,VA,3.672715281,53.38090974,57.05362503,150,36.67670048,-76.30545744
214,2016,Complete,Solar,culpeper,VA,8.669193868,122.7094852,131.378679,60,38.48401706,-77.95862398
215,2016,Complete,Solar,defiance,OH,15.37422612,8.78527207,24.15949819,49.9,41.32398837,-84.49076944
216,2016,Complete,Solar,edgecombe,NC,6.597921179,97.27197023,103.8698914,175,35.91230639,-77.59436892
217,2016,Complete,Solar,fauquier,VA,0,0,0,19.8,38.73564842,-77.80647472
218,2016,Complete,Solar,greensville,VA,18.01163699,70.38821649,88.39985352,260,36.67878837,-77.56351483
219,2016,Complete,Solar,halifax,NC,6.786283508,97.51995988,104.3062434,80,36.25673944,-77.65561111
220,2016,Complete,Solar,halifax,VA,77.86348925,108.2397239,186.1032132,71,36.76654925,-78.93512622
221,2016,Complete,Solar,harrison,KY,4.4687566,88.60905944,93.07781604,80,38.44168172,-84.32901095
222,2016,Complete,Solar,highland,OH,0,23.10692393,23.10692393,550,39.1839264,-83.60331456
223,2016,Complete,Solar,hyde,NC,7.448862564,100.53974,107.9886026,74,35.42017674,-76.15180542
224,2016,Complete,Solar,isle of wight,VA,11.30445717,18.02881849,29.33327566,240,36.90566225,-76.70855328
225,2016,Complete,Solar,king george,VA,10.7928001,140.3743199,151.16712,50,38.26817691,-77.15851654
226,2016,Complete,Solar,louisa,VA,7.521797184,186.3173769,193.8391741,88.2,37.97849713,-77.9627492
227,2016,Complete,Solar,madison,OH,2.284869446,40.48983659,42.77470603,176,39.89381073,-83.40178317
